 ,,,,Page 1 of 16 ,
 ,,,,,
,City ,, ,,Area Code 
,,,County,,
City ,Code ,Area Description ,Code ,,
,,,,,
 ,,,,,
29 Palms ,29P   ,29 Palms ,SB ,371,
29 Palms ,29P   ,Wonder Valley ,SB ,372,
29 Palms ,29P   ,Airport District & Dale ,SB ,373,
29 Palms ,29P   ,Desert Heights ,SB ,374,
Acton ,AC     ,Out of Area ,LA ,OA ,
Adelanto ,AD    ,Out of Area ,SB ,OA ,
Agoura ,AGO   ,Out of Area ,LA ,OA ,
Agoura Hills ,AGHI ,Out of Area ,LA ,OA ,
Agua Dulce ,ADUL ,Out of Area ,LA ,OA ,
Aguanga ,AGNA  ,Anza/Aguanga/Warner Springs ,RI ,221,
Alberhill ,ALHL ,Out of Area ,RI ,OA ,
Alhambra ,ALH   ,Alhambra ,LA ,601,
Aliso Viejo ,AV    ,Aliso Viejo ,OR ,AV ,
Alpine ,ALP ,Out of Area ,SD ,OA ,
Alta Loma ,ALTL  ,Rancho Cucamonga ,SB ,688,
Altadena ,ALTA  ,Altadena ,LA ,604,
Anaheim ,ANA   ,"N of Gar Grv, S Of Ball, E of Knott, W of Dale ",OR ,61,
Anaheim ,ANA   ,"Garden Grove E of Euclid, W of Harbor ",OR ,64,
Anaheim ,ANA   ,Anaheim East of Harbor ,OR ,78,
Anaheim ,ANA   ,Anaheim West of Harbor ,OR ,79,
Anaheim ,ANA   ,Sycamore Canyon ,OR ,91,
Anaheim ,ANA   ,"Anaheim N of River, E of Lakeview ",OR ,93,
Anaheim Hills ,AH    ,Anaheim Hills ,OR ,77,
Angeles Oaks ,ANGO  ,Forest Falls Area ,LA/SB ,290,
Anza ,ANZA  ,Anza/Aguanga/Warner Springs ,RI ,221,
Apple Valley ,APPV  ,Out of Area ,SB ,OA ,
Arcadia ,ARCD  ,Arcadia ,LA ,605,
Arleta ,ARL    ,Out of Area ,LA ,OA ,
Arrowbear ,AB ,Out of Area ,SB ,OA ,
Artesia ,ART   ,Artesia ,LA ,RC  ,
Atwater ,ATW ,Atwater ,LA ,606,
Avalon ,AVAL ,Catalina ,LA ,1C ,
Azusa ,AZU   ,Azusa ,LA ,607,
Bakersfield ,BKSF ,Out of Area ,KE ,OA ,
Baldwin Park ,BDPK  ,Baldwin Park/Irwindale ,LA ,608,
Banning ,BANN  ,Banning/Beaumont/Cherry Valley ,RI ,263,
Barstow ,BSTW  ,Out of Area ,SB ,OA ,
Bassett ,BST ,Out of Area ,LA ,OA ,
Beaumont ,BMT   ,Banning/Beaumont/Cherry Valley ,RI ,263,
Bel Air ,BELA ,Bel Air - Holmby Hills ,LA ,C04 ,
Bell ,BELL  ,"Bell Gardens, Bell E of 710, Commerce S of 26th ",LA ,T3  ,
Bell ,BELL  ,"Maywood, Bell ",LA ,T6  ,
Bell Canyon ,BC     ,Out of Area ,LA ,OA ,
Bell Gardens ,BG    ,"Bell Gardens, Bell E of 710, Commerce S of 26th ",LA ,T3  ,
Bell Gardens ,BG    ,"Maywood, Bell ",LA ,T6  ,
,,,,,
,,,,,
,,,,,
Bellflower ,BF    ,Bellflower South of 91 Frwy ,LA ,RF  ,
Bellflower ,BF    ,"Bellflower North of 91 Frwy, S of Alondra ",LA ,RG  ,
Bellflower ,BF    ,"Bellflower N of Alondra, E of Bellflower ",LA ,RH  ,
Bellflower ,BF    ,"Bellflower N of Alondra, W of Bellflower ",LA ,RJ  ,
Bermuda Dunes ,BD    ,"Bermuda Dunes, Myoma ",RI ,312,
Beverly Hills ,BEVH ,Beverly Hills ,LA ,C01 ,
Beverly Hills ,BEVH ,Beverly Hills Post Office ,LA ,C02 ,
Big Bear ,BB    ,Big Bear Area ,SB ,289,
Bloomington ,BLM   ,Bloomington ,SB ,265,
Blythe ,BLY ,Out of Area ,RI ,OA ,
Bonita ,BON ,Out of Area ,SD ,OA ,
Bonsall ,BNSL ,Out of Area ,SD ,OA ,
Borrega Springs ,BSPG ,Out of Area ,SD ,OA ,
Boulevard ,BOU ,Out of Area ,SD ,OA ,
Bradbury ,BRAD  ,Bradbury ,LA ,609,
Brea ,BREA  ,Brea ,OR ,86,
Brentwood ,BREN ,Brentwood ,LA ,C06 ,
Buena Park ,BP    ,Buena Park ,OR ,82,
Bullhead City ,BULH ,Out of Area (Outside CA) ,OS ,OS ,
Burbank ,BBK ,Burbank ,LA ,610,
Cabazon ,CABA  ,Banning/Beaumont/Cherry Valley ,RI ,263,
Cahuenga Pass ,CPS    ,Out of Area ,LA ,OA ,
Calabasas ,CLB   ,Out of Area ,LA ,OA ,
Calabasas Highlands ,CBH   ,Out of Area ,LA ,OA ,
Calabasas Park ,CBP    ,Out of Area ,LA ,OA ,
California City ,CACY  ,Out of Area ,KE ,OA ,
Calimesa ,CALI  ,Yucaipa/Calimesa ,RI ,269,
Camarillo ,CAM    ,Out of Area ,VE ,OA ,
Campo ,CAMP ,Out of Area ,SD ,OA ,
Canoga Park ,CP    ,Out of Area ,LA ,OA ,
Canyon Areas ,CA    ,Modjeska Canyon ,OR ,MO  ,
Canyon Areas ,CA    ,North Canyon ,OR ,NC  ,
Canyon Areas ,CA    ,Silverado Canyon ,OR ,SI ,
Canyon Country ,CANC ,Out of Area ,LA ,OA ,
