,L/C Price,Sub Type,St#,St Name,City,Br/Ba,YrBuilt,Age,house_price,City Name,Address,Lat,Lng
0,"$89,000 ",MANL/D,12,Via Veneto    #12,CHU,"2/2,0,0,0",2006,12,"89,000 ",Chula Vista ,12 Via Veneto    #12 Chula Vista ,32.6518702,-117.0859664
1,"$158,000 ",CONDO/A,1653,Pentecost Way    #1,SD,"1/1,0,0,0",1980,38,"158,000 ",San Diego (City) ,1653 Pentecost Way    #1 San Diego (City) ,32.7227022,-117.0813829
2,"$168,250 ",CONDO/A,6101,Adelaide Ave    #107,SD,"0/1,0,0,0",1984/ASR,34,"168,250 ",San Diego (City) ,6101 Adelaide Ave    #107 San Diego (City) ,32.7575743,-117.0659418
3,"$175,000 ",CONDO/A,589 N,Johnson    #137,ELC,"2/1,0,0,0",1980,38,"175,000 ",El Cajon ,589 N Johnson    #137 El Cajon ,32.8023735,-116.9691696
4,"$190,000 ",SFR,3138,Roadrunner   ,BSPG,"2/2,0,0,0",1986,32,"190,000 ",Borrega Springs ,3138 Roadrunner    Borrega Springs ,33.186874,-116.3174484
5,"$215,000 ",CONDO/A,9859,Mission Viejo Ct    #3,SAN,"2/1,0,0,0",1972,46,"215,000 ",Santee ,9859 Mission Viejo Ct    #3 Santee ,32.8365141,-116.9818
6,"$242,000 ",CONDO/A,5648,Amaya Dr    #136,LMSA,"1/1,0,0,0",1997,21,"242,000 ",La Mesa ,5648 Amaya Dr    #136 La Mesa ,32.7870186,-117.0007556
7,"$245,000 ",CONDO/A,6780,Friars Rd    #102,SD,"0/1,0,0,0",1972,46,"245,000 ",San Diego (City) ,6780 Friars Rd    #102 San Diego (City) ,32.7686413,-117.1735771
8,"$247,000 ",SFR/D,1108 S,Berry DR  ,MDRA,"3/2,0,0,0",2008/PUB,10,"247,000 ",,1108 S Berry DR   ,44.2440203,-88.38713609999999
9,"$250,000 ",CONDO/A,7747,Margerum Ave    #232,SD,"1/1,0,0,0",1978,40,"250,000 ",San Diego (City) ,7747 Margerum Ave    #232 San Diego (City) ,32.8087818,-117.0664669
10,"$250,000 ",MANL/D,16932,Quartz ST  ,JMST,"3/2,0,0,0",1996/ASR,22,"250,000 ",,16932 Quartz ST   ,37.9289645,-120.422102
11,"$251,000 ",DPLX,5345,Caminito Mindy   ,SD,"3/1,0,1,0",1973,45,"251,000 ",San Diego (City) ,5345 Caminito Mindy    San Diego (City) ,32.7348533,-117.0808789
12,"$260,000 ",SFR,3742,Thorn   ,SD,"3/1,0,0,0",1938,80,"260,000 ",San Diego (City) ,3742 Thorn    San Diego (City) ,32.7405351,-117.1122046
13,"$265,000 ",CONDO/A,1453,Melrose    #9,CHU,"2/1,0,0,0",1972,46,"265,000 ",Chula Vista ,1453 Melrose    #9 Chula Vista ,32.6065609,-117.0395908
14,"$265,000 ",SFR/D,1015,Green ST  ,WLLS,"3/2,0,0,0",1999/ASR,19,"265,000 ",,1015 Green ST   ,40.2673032,-76.8886589
15,"$270,000 ",SFR/D,834,Alice LN  ,CHIC,"3/1,1,0,0",1957/ASR,61,"270,000 ",,834 Alice LN   ,39.7496634,-121.8197733
16,"$277,000 ",SFR/D,1996,Pebble Beach DR  ,MERC,"3/2,0,0,0",1993/ASR,25,"277,000 ",,1996 Pebble Beach DR   ,37.3313557,-120.4470825
17,"$280,000 ",CONDO/A,1021,Scott St    #209,SD,"0/1,0,0,0",1980,38,"280,000 ",San Diego (City) ,1021 Scott St    #209 San Diego (City) ,32.7196644,-117.2310158
18,"$310,000 ",CONDO/A,3050,Rue DOrleans    #385,SD,"1/1,0,0,0",1969/ASR,49,"310,000 ",San Diego (City) ,3050 Rue DOrleans    #385 San Diego (City) ,32.7545193,-117.2276758
19,"$315,000 ",SFR/D,773,Skylark DR  ,CHIC,"3/2,0,0,0",1987/ASR,31,"315,000 ",,773 Skylark DR   ,39.7281313,-121.8772963
20,"$325,000 ",CONDO/A,9929,Azuaga St    #204,SD,"2/1,0,0,0",1992,26,"325,000 ",San Diego (City) ,9929 Azuaga St    #204 San Diego (City) ,32.9589306,-117.1103387
21,"$326,000 ",SFR/D,664,Rancho Vista Rd   ,VST,"3/2,0,0,0",1970,48,"326,000 ",Vista ,664 Rancho Vista Rd    Vista ,33.1906859,-117.2406278
