"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","OR18186389","S","SFR/D","1420","Olive Grove LN  ","OROV","","STD","$235,000","$169.92","3/2,0,0,0","1383/OTH","1990/OTH","0.37/16,117","2/2","Y","N","2.5","09/04/18","CRMLSM"
"1","180042662","S","CONDO/A","12730","Laurel Street    #305","LAK","","","$242,000","$262.76","2/1,0,0,0","921/A","1990","","2/32","","N","2.5","08/24/18","SAND"
"1","180042782","S","CONDO/A","1145","Emerald Ave   ","ELC","","","$245,000","$239.26","2/1,0,1,0","1024/A","1974","","8/8","","N","2.5","08/31/18","SAND"
"1","180042596","S","CONDO/A","5417","Lake Murray    #1","LMSA","","","$250,000","$421.59","1/1,0,0,0","593/A","1995","","8/8","","N","2.5","08/21/18","SAND"
"1","MC18187845","S","SFR/D","260","Peninsula DR  ","ATW","","STD","$253,000","$184.67","3/2,0,0,0","1370/A","1991/ASR","0.1481/6,451","4/4","Y","N","2.5","09/06/18","CRMLSM"
"1","180042637","S","CONDO/A","740","Breeze Hill Rd    #221","VST","","","$263,000","$421.47","1/1,0,0,0","624/A","1990","","4/15","","N","2.5","08/27/18","SAND"
"1","SN18187011","S","SFR/D","17","Joy LN  ","CHIC","","STD","$280,000","$215.05","3/2,0,0,0","1302/A","1960/ASR","0.17/7,405","6/6","Y","N","3","09/12/18","CRMLSM"
"1","SN18186183","S","SFR/D","1262","Filbert AVE  ","CHIC","","STD","$285,000","$273.51","2/1,0,0,0","1042/A","1955/ASR","0.19/8,276","5/5","N","N","3","08/24/18","CRMLSM"
"1","180042949","S","CONDO/A","6406","Friars Rd.    #336","SD","","","$285,000","$431.16","1/1,0,0,0","661/A","1973/ASR","","17/17","Y","N","2.5","09/10/18","SAND"
"1","SN18188136","S","SFR/D","566","El Reno DR  ","CHIC","","STD","$289,000","$200.83","3/2,0,0,0","1439/A","1956/ASR","0.22/9,583","3/3","Y","N","2.5","08/21/18","CRMLSM"
"1","180042542","S","CONDO/A","6314","Friars Rd    #302","SD","","","$289,000","$437.22","1/1,0,0,0","661/A","1972/ASR","","10/10","","N","2.5","08/27/18","SAND"
"1","180042840","S","SFR/D","2705","Granger Ave   ","NAC","","","$290,000","$345.24","3/1,0,0,0","840/A","1924","","14/14","","N","2.5","09/10/18","SAND"
"1","180042691","S","CONDO/A","4149","Mount Alifan Pl    #G","SD","","","$299,900","$347.51","2/1,0,0,0","863/A","1973","","5/5","","N","2.5","08/21/18","SAND"
"1","180042700","S","CONDO/A","12745","Robison Blvd    #10","POW","","","$306,500","$415.88","2/2,0,0,0","737/A","1977","","11/11","","N","2.5","09/14/18","SAND"
"1","180042744","S","CONDO/A","465","4th Ave    #15","CHU","","","$310,000","$296.08","2/2,0,0,0","1047/A","1980","","5/5","","N","2.5","08/31/18","SAND"
"1","180042861","S","CONDO/A","2332","Hosp Way    #208","CAR","","","$315,000","$306.12","2/2,0,0,0","1029/A","1975/ASR","","5/5","","N","2.5","09/07/18","SAND"
"1","180043072","S","SFR/D","1230 W","Mission Blvd   ","POM","","","$320,000","$252.96","3/2,0,0,0","1265/A","1938/ASR","","1/1","","N","2.5","08/20/18","SAND"
"1","180042888","S","CONDO","5525","Shasta Ln    #206","LMSA","","","$330,000","$348.84","2/2,0,0,0","946/A","1990","","2/2","Y","N","2.5","08/29/18","SAND"
"1","MC18186002","S","SFR/D","2154","Park Crest DR  ","LBAN","","NOD","$333,500","$111.95","5/3,0,0,0","2979/AP","2001/PUB","0.1455/6,338","8/8","Y","N","2.5","09/11/18","CRMLSM"
"1","180042579","S","CONDO","4800","Williamsburg Ln    #209","LMSA","","","$355,000","$356.78","2/2,0,0,0","995/A","1969","","7/7","","N","2.5","09/12/18","SAND"
"1","180042895","S","CONDO/A","135","Bronze Way   ","VST","","","$355,000","$259.12","2/2,0,0,0","1370/A","1982","","4/4","","N","2.5","09/07/18","SAND"
"1","180043070","S","CONDO/A","2428","Ashford Gln   ","ESC","","","$357,000","$357.00","2/2,0,0,0","1000/A","1982","","11/11","","N","2.5","09/12/18","SAND"
"1","180042874","S","SFR/D","5957","Michael St   ","SD","","","$365,000","$349.62","3/2,0,0,0","1044/P","1951","","5/5","","N","2.5","08/20/18","SAND"
"1","180042501","S","MANL/D","170","Diana St.    #33","ENCS","","","$365,000","$405.56","2/2,0,0,0","900/E","1959","","14/108","","N","2.5","08/27/18","SAND"
"1","180042609","S","CONDO/A","9959","Azuaga St    #I103","SD","","","$365,500","$438.78","2/2,0,0,0","833/P","1992","","1/1","","N","2","08/24/18","SAND"
"1","180042994","S","CONDO","707","Brookstone    #201","CHU","","","$369,000","$316.47","3/2,0,0,0","1166/A","1988/ASR","","8/8","Y","N","2.5","09/12/18","SAND"
"1","180042566","S","CONDO","1463","Hemlock  Ave.   ","IMB","","","$369,900","$372.51","2/1,0,1,0","993/A","1990","","26/26","N","N","2.5","08/31/18","SAND"
"1","180042607","S","CONDO/A","75","Third Ave    #26","CHU","","","$380,000","$284.64","2/2,0,0,0","1335/OTH","1978","","6/6","","N","2.5","09/14/18","SAND"
"1","SR18186483","S","SFR/D","10957","Bellone WAY  ","RCDV","","STD","$382,000","$260.22","3/2,0,0,0","1468/A","2002/ASR","0.1332/5,804","6/6","N","N","2.5","08/24/18","CRIS"
"1","180042489","S","SFR/D","2323","Edgerton Drive   ","LEG","","","$385,000","$268.48","3/1,0,0,0","1434/A","1952/ASR","","7/7","","N","2.5","09/05/18","SAND"
"1","180042842","S","CONDO/A","17905","Caminito Pinero    #162","SD","","","$388,000","$359.26","2/2,0,0,0","1080/A","1985","","13/13","","N","2.5","09/05/18","SAND"
"1","SN18187979","S","SFR/D","7","Shearwater CT  ","CHIC","","STD","$395,000","$229.12","3/2,0,0,0","1724/A","2001/ASR","0.18/7,841","14/14","Y","Y","2.5","09/10/18","CRMLSM"
"1","MC18187387","S","SFR/D","1221","Cavalaire CT  ","MERC","","STD","$400,000","$111.86","6/4,0,0,0","3576/A","2006/PUB","0.1377/5,998","5/5","Y","N","2","08/28/18","CRMLSM"
"1","180042500","S","TWNHS/A","554","Almond Rd   ","SAM","","","$405,000","$385.35","2/2,0,1,0","1051/A","2004/ASR","","8/8","","N","3","08/28/18","SAND"
"1","180042503","S","SFR/D","36383","Tansy Ct   ","LKEL","","","$406,500","$202.74","4/3,0,0,0","2005/A","2014","","19/19","","N","2.5","09/11/18","SAND"
"1","180042811","S","SFR/D","177","Alamo Way   ","ELC","","","$409,000","$435.57","2/1,0,0,0","939/A","1948","","7/74","","N","2.5","09/07/18","SAND"
"1","180042604","S","CONDO/A","12576","Caminito De La Gallarda   ","SD","","","$410,000","$438.03","2/2,0,0,0","936/A","1976","","10/10","","N","2.5","08/31/18","SAND"
"1","MC18187954","S","SFR/D","1667","Dock AVE  ","LBAN","","STD","$422,057","$215.34","4/2,0,0,0","1960/A","2017/SLR","0.1391/6,060","13/13","Y","N","2","08/23/18","CRMLSM"
"1","180042834","S","SFR/D","5507","Creston Drive   ","SD","","","$425,000","$491.90","3/2,0,0,0","864/A","1928","","8/8","","N","2.5","09/17/18","SAND"
"1","180042466","S","SFR/D","1260","Barbara Drive   ","VST","","","$440,000","$546.58","2/1,0,0,0","805/A","1955/ASR","","5/5","","N","2.5","09/14/18","SAND"
"1","180042786","S","CONDO/A","11395","Affinity Court    #227","SD","","","$442,000","$428.29","2/2,0,0,0","1032/A","1993","","8/8","Y","N","2.5","09/06/18","SAND"
