,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,Ac/LSqft,DOM/CDOM,View YN,Pool Private YN,BAC,Contract Status Change Date,MLS
1,180048066,S,MANL/D,12,Via Veneto    #12,CHU,,,"$89,000 ",$89.00 ,"2/2,0,0,0",1000/P,2006,,8-Aug,,N,2500,9/14/2018,SAND
1,180047253,S,CONDO/A,1653,Pentecost Way    #1,SD,,,"$158,000 ",$236.53 ,"1/1,0,0,0",668/A,1980,,1-Jan,,N,2.5,9/7/2018,SAND
1,180046958,S,CONDO/A,6101,Adelaide Ave    #107,SD,,,"$168,250 ",$562.71 ,"0/1,0,0,0",299/A,1984/ASR,,5-May,,N,2.5,9/14/2018,SAND
1,180047651,S,CONDO/A,589 N,Johnson    #137,ELC,,,"$175,000 ",$198.19 ,"2/1,0,0,0",883/,1980,,4-Apr,,N,500,8/28/2018,SAND
1,180051931,S,SFR,3138,Roadrunner   ,BSPG,,,"$190,000 ",$140.12 ,"2/2,0,0,0",1356/A,1986,,0/135,,N,3,9/14/2018,SAND
1,180048621,S,CONDO/A,9859,Mission Viejo Ct    #3,SAN,,,"$215,000 ",$238.10 ,"2/1,0,0,0",903/A,1972,,5-May,,N,2.5,9/13/2018,SAND
1,180046204,S,CONDO/A,5648,Amaya Dr    #136,LMSA,,,"$242,000 ",$401.99 ,"1/1,0,0,0",602/A,1997,,2-Feb,,N,,8/28/2018,SAND
1,180047374,S,CONDO/A,6780,Friars Rd    #102,SD,,,"$245,000 ",$485.15 ,"0/1,0,0,0",505/A,1972,,5-May,,N,2.5,9/13/2018,SAND
1,MD18209408,S,SFR/D,1108 S,Berry DR  ,MDRA,,STD,"$247,000 ",$172.25 ,"3/2,0,0,0",1434/A,2008/PUB,"0.2407/10,485",11-Nov,Y,N,2,9/10/2018,CRMLSM
1,180047682,S,CONDO/A,7747,Margerum Ave    #232,SD,,,"$250,000 ",$393.70 ,"1/1,0,0,0",635/A,1978,,0/0,,N,2.5,8/24/2018,SAND
1,MC18206507,S,MANL/D,16932,Quartz ST  ,JMST,,STD,"$250,000 ",$160.26 ,"3/2,0,0,0",1560/A,1996/ASR,"0.46/20,038",1-Jan,Y,N,2.5,9/7/2018,CRMLSM
1,180052269,S,DPLX,5345,Caminito Mindy   ,SD,,,"$251,000 ",$246.08 ,"3/1,0,1,0",1020/A,1973,,0/0,,N,2.5,9/17/2018,SAND
1,180047559,S,SFR,3742,Thorn   ,SD,,,"$260,000 ",$236.36 ,"3/1,0,0,0",1100/A,1938,,0/0,,N,,8/22/2018,SAND
1,180046449,S,CONDO/A,1453,Melrose    #9,CHU,,,"$265,000 ",$270.41 ,"2/1,0,0,0",980/P,1972,,10-Oct,,N,2.5,9/5/2018,SAND
